ErdosRenyi 0.1 20
10 10
10 17
10 20
6 5
3 5
3 20
1 5
1 8
5 1
5 3
5 6
5 12
5 20
8 1
8 14
7 11
7 16
7 19
7 20
9 15
14 8
14 12
12 5
12 14
11 7
11 11
11 13
11 17
13 11
16 7
16 17
19 7
19 19
15 9
17 10
17 11
17 16
20 3
20 5
20 7
20 10

WattsStrogatz 20 4 0.6
8 6
8 7
8 9
8 10
4 2
4 3
4 5
4 10
2 1
2 3
2 4
2 9
2 10
1 2
1 3
1 15
1 20
3 1
3 2
3 4
3 5
6 5
6 7
6 8
5 3
5 4
5 6
5 7
7 5
7 6
7 8
7 9
12 10
12 11
12 14
16 14
16 15
16 17
16 18
10 2
10 4
10 8
10 9
10 12
9 2
9 7
9 8
9 10
9 11
11 9
11 12
11 13
14 12
14 13
14 15
14 16
13 11
13 14
13 15
15 1
15 13
15 14
15 16
15 17
19 17
19 18
19 20
17 15
17 16
17 18
17 19
18 16
18 17
18 19
18 20
20 1
20 18
20 19

BarabasiAlbert 1 1 20
8 2
4 2
4 15
4 19
2 1
2 3
2 4
2 6
2 7
2 8
2 10
2 13
1 2
3 2
3 5
3 14
6 2
6 9
6 12
6 17
5 3
7 2
7 11
12 6
17 6
10 2
9 6
11 7
11 16
14 3
14 18
14 20
13 2
15 4
16 11
19 4
18 14
20 14

